//X,Y,Z,Classification
0,0,0,0.0
-23770,48327,39503,0.0
-23520,46925,39210,0.0
-23291,45592,38944,0.0
-23034,44237,38627,0.0
-22858,43061,38436,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
-19364,33734,32890,0.0
-19314,32986,32880,0.0
0,0,0,0.0
-19188,31476,32802,0.0
-18720,30091,32066,0.0
-18738,29505,32156,0.0
-18644,28758,32054,0.0
-18536,27998,31922,0.0
-18784,27779,32402,0.0
-18107,26212,31282,0.0
-18153,25717,31406,0.0
-18043,25011,31259,0.0
-17878,24241,31014,0.0
-18111,24016,31457,0.0
-20180,26160,35090,0.0
0,0,0,0.0
-17572,21754,30620,0.0
0,0,0,0.0
-17298,20423,30196,0.0
-17474,20139,30529,0.0
-17299,19453,30245,0.0
-17762,19482,31076,0.0
-19367,20710,33904,0.0
-19312,20125,33825,0.0
-19233,19523,33703,0.0
-19193,18969,33647,0.0
-19112,18381,33518,0.0
-19023,17796,33373,0.0
-18959,17239,33267,0.0
-18935,16727,33232,0.0
-18857,16171,33098,0.0
-18810,15652,33019,0.0
-18766,15139,32944,0.0
-18696,14613,32821,0.0
-18593,14068,32637,0.0
-18555,13578,32565,0.0
-18470,13060,32408,0.0
-18459,12602,32382,0.0
-18417,12125,32299,0.0
-18378,11655,32219,0.0
-18378,11214,32205,0.0
-18298,10728,32051,0.0
-18228,10256,31914,0.0
-18061,9736,31603,0.0
-14087,7263,24634,0.0
-14077,6931,24602,0.0
-14036,6585,24512,0.0
-14027,6257,24479,0.0
-13996,5923,24404,0.0
-13966,5591,24330,0.0
-13934,5262,24253,0.0
-13894,4933,24160,0.0
-13865,4611,24084,0.0
-13838,4293,24013,0.0
-13828,3982,23971,0.0
-13792,3666,23880,0.0
-13771,3356,23815,0.0
-13750,3049,23748,0.0
-13721,2742,23667,0.0
-13700,2440,23598,0.0
-13678,2139,23529,0.0
-13669,1841,23479,0.0
-13644,1544,23400,0.0
-13628,1249,23338,0.0
-13616,957,23279,0.0
-13599,666,23212,0.0
-13570,376,23122,0.0
-13550,88,23048,0.0
-13566,-198,23034,0.0
-14029,-500,23776,0.0
-14292,-811,24174,0.0
-14338,-1114,24205,2.0
-14349,-1415,24177,2.0
-14335,-1713,24103,2.0
-14360,-2015,24094,2.0
-14350,-2312,24023,2.0
-14335,-2607,23946,2.0
-14338,-2904,23896,2.0
-14317,-3196,23806,2.0
-14330,-3494,23769,2.0
-14288,-3778,23642,2.0
-14281,-4071,23571,2.0
-14292,-4368,23529,2.0
-14289,-4660,23462,2.0
-14263,-4944,23357,2.0
-14275,-5240,23312,2.0
-14251,-5523,23209,2.0
-14268,-5822,23170,2.0
-14282,-6118,23125,2.0
-14241,-6391,22990,2.0
-14288,-6704,22994,2.0
-14253,-6978,22868,2.0
-14255,-7270,22798,2.0
-14293,-7581,22784,2.0
-14311,-7882,22738,2.0
-14301,-8169,22647,2.0
-14326,-8475,22606,2.0
-14352,-8783,22567,2.0
-14354,-9078,22491,2.0
-14376,-9386,22441,2.0
-14372,-9677,22353,2.0
-14416,-10002,22335,2.0
-14419,-10300,22253,2.0
-14474,-10635,22247,2.0
-14492,-10945,22185,2.0
-14518,-11264,22133,2.0
-14511,-11557,22028,2.0
-14508,-11854,21930,2.0
-14593,-12224,21961,2.0
-14599,-12532,21870,2.0
-14653,-12882,21852,2.0
-14671,-13203,21776,2.0
-14767,-13595,21813,2.0
-14784,-13920,21733,2.0
-14742,-14188,21563,2.0
-14761,-14515,21480,2.0
-14731,-14796,21325,2.0
-14747,-15122,21235,2.0
-14859,-15551,21281,0.0
-14581,-15569,20767,0.0
-14269,-15538,20208,0.0
-13993,-15536,19703,0.0
-14013,-15857,19614,0.0
-14006,-16151,19486,0.0
-14073,-16530,19459,0.0
-14129,-16902,19414,0.0
-14174,-17264,19352,0.0
-14206,-17611,19267,0.0
-14238,-17964,19182,0.0
-14290,-18342,19120,0.0
-14343,-18728,19056,0.0
-14399,-19119,18992,0.0
-14424,-19474,18887,0.0
-14466,-19855,18800,0.0
-14521,-20257,18726,0.0
-14571,-20656,18643,0.0
-14615,-21049,18547,0.0
-14664,-21454,18456,0.0
-14717,-21870,18366,0.0
-14774,-22295,18278,0.0
-14840,-22740,18197,0.0
-14789,-23007,17969,0.0
0,0,0,0.0
0,0,0,0.0
-1100,-1791,1300,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
-976,-1931,971,0.0
0,0,0,0.0
-989,-2010,955,0.0
-1006,-2071,954,0.0
-1000,-2088,934,0.0
-990,-2095,909,0.0
-96,-207,87,0.0
-94,-204,83,0.0
-100,-219,86,0.0
-110,-247,94,0.0
-143,-323,119,0.0
-154,-354,126,0.0
-149,-347,119,0.0
-146,-344,114,0.0
-149,-354,113,0.0
-141,-342,104,0.0
-139,-339,100,0.0
-137,-338,96,0.0
-135,-338,92,0.0
-134,-343,89,0.0
-132,-339,84,0.0
-132,-345,81,0.0
-134,-355,80,0.0
-131,-351,75,0.0
-132,-359,72,0.0
0,0,0,0.0
-23059,47922,39485,0.0
-22789,46469,39138,0.0
-22552,45114,38841,0.0
-22343,43844,38586,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
-18763,34053,32726,0.0
-18848,33534,32947,0.0
-18686,32587,32733,0.0
0,0,0,0.0
-18819,31518,33098,0.0
-18218,29893,32098,0.0
-18212,29273,32146,0.0
-17876,28139,31604,0.0
-18324,28245,32449,0.0
-20290,30619,35985,0.0
-17673,26104,31388,0.0
-17657,25520,31401,0.0
-17499,24744,31160,0.0
-17888,24740,31892,0.0
-17625,23835,31457,0.0
-17149,22671,30640,0.0
-17133,22135,30641,0.0
-17034,21501,30493,0.0
0,0,0,0.0
-17139,20629,30731,0.0
-17146,20143,30766,0.0
-17305,19834,31071,0.0
-17287,19323,31058,0.0
-17320,18873,31134,0.0
-18794,19955,33799,0.0
-18757,19398,33746,0.0
-18687,18815,33634,0.0
-18623,18244,33527,0.0
-18531,17655,33370,0.0
-18493,17125,33308,0.0
-18415,16565,33171,0.0
-18345,16019,33048,0.0
-18309,15510,32984,0.0
-18292,15022,32952,0.0
-18266,14530,32901,0.0
-18095,13933,32591,0.0
