//X,Y,Z,Classification
-4109,8513,6807,0.0
-4135,8408,6873,0.0
-4093,8168,6825,0.0
-4104,8034,6862,0.0
-4135,7943,6935,0.0
-4146,7812,6974,0.0
-4151,7671,6999,0.0
-4155,7529,7023,0.0
-4152,7379,7036,0.0
-4155,7240,7058,0.0
-4160,7105,7082,0.0
-4155,6957,7090,0.0
-4158,6822,7109,0.0
-4157,6683,7122,0.0
-4158,6549,7137,0.0
-4162,6420,7156,0.0
-4158,6280,7161,0.0
-4158,6150,7174,0.0
-4162,6026,7191,0.0
-4159,5894,7198,0.0
-4162,5769,7211,0.0
-4162,5644,7221,0.0
-4167,5526,7239,0.0
-4164,5399,7241,0.0
-4146,5253,7218,0.0
-4140,5125,7214,0.0
-4149,5017,7238,0.0
-4172,4927,7284,0.0
-4177,4813,7297,0.0
-4174,4694,7298,0.0
-4160,4563,7279,0.0
-4146,4434,7259,0.0
-4155,4330,7278,0.0
-17230,17490,30194,0.0
-17189,16988,30134,0.0
-17350,16687,30427,0.0
-17404,16281,30532,0.0
-17430,15849,30585,0.0
-18962,16750,33279,0.0
-18755,16084,32920,0.0
-18796,15639,32994,0.0
-7678,6195,13480,0.0
-7622,5958,13380,0.0
-7625,5769,13384,0.0
-7579,5547,13303,0.0
-4207,2975,7381,0.0
-4195,2864,7360,0.0
-4180,2751,7332,0.0
-4177,2649,7325,0.0
-4174,2547,7316,0.0
-4181,2450,7323,0.0
-4182,2353,7323,0.0
-4190,2258,7332,0.0
-4183,2156,7316,0.0
-4189,2062,7322,0.0
-4189,1965,7317,0.0
-4192,1870,7316,0.0
-4183,1770,7294,0.0
-4185,1675,7291,0.0
-4195,1584,7303,0.0
-4196,1490,7298,0.0
-4186,1393,7274,0.0
-4191,1299,7272,0.0
-4281,1232,7421,0.0
-4681,1244,8106,0.0
-4675,1140,8085,0.0
-4649,1031,8031,0.0
-4162,831,7179,0.0
-4197,747,7229,0.0
-4194,656,7215,0.0
-4190,564,7196,0.0
-4184,473,7176,0.0
-4187,383,7171,0.0
-4193,294,7169,0.0
-4188,204,7149,0.0
-4188,116,7138,0.0
-4195,26,7136,0.0
-4193,-62,7120,0.0
-4195,-150,7109,0.0
-4197,-238,7100,0.0
-4195,-326,7084,0.0
-4197,-414,7071,0.0
-4200,-502,7063,0.0
-4199,-589,7046,0.0
-4201,-677,7033,0.0
-4209,-765,7032,0.0
-4202,-851,7004,0.0
-4192,-935,6971,0.0
-3380,-824,5608,0.0
-4197,-1111,6945,0.0
-4199,-1197,6932,0.0
-4205,-1286,6924,0.0
-4252,-1386,6983,0.0
-4413,-1530,7228,0.0
-4424,-1624,7225,0.0
-4412,-1710,7187,0.0
-4332,-1767,7034,0.0
-4218,-1807,6830,0.0
-4211,-1889,6798,0.0
-4206,-1973,6769,0.0
-4197,-2054,6734,0.0
-4205,-2144,6726,0.0
-4210,-2233,6713,0.0
-4209,-2318,6688,0.0
-4215,-2407,6675,0.0
-4212,-2492,6648,0.0
-4215,-2580,6629,0.0
-4215,-2666,6605,0.0
-4209,-2748,6571,0.0
-4211,-2836,6551,0.0
-4222,-2929,6541,0.0
-4217,-3011,6507,0.0
-4210,-3093,6472,0.0
-3355,-2534,5137,0.0
-4222,-3275,6437,0.0
-4222,-3362,6410,0.0
-4220,-3449,6380,0.0
-4222,-3537,6355,0.0
-4220,-3622,6321,0.0
-4224,-3713,6298,0.0
-4226,-3804,6274,0.0
-4228,-3892,6246,0.0
-4227,-3979,6213,0.0
-4231,-4072,6189,0.0
-4235,-4165,6163,0.0
-4235,-4254,6131,0.0
-4238,-4345,6102,0.0
-4237,-4433,6067,0.0
-4238,-4526,6037,0.0
-4251,-4629,6021,0.0
-4485,-4980,6317,0.0
-4582,-5186,6415,0.0
-4590,-5293,6388,0.0
-3472,-4079,4802,0.0
-3476,-4159,4777,0.0
-3406,-4148,4651,0.0
-4242,-5261,5755,0.0
-4243,-5353,5717,0.0
-4242,-5446,5676,0.0
-4250,-5550,5648,0.0
-4245,-5637,5601,0.0
-4247,-5734,5561,0.0
-4246,-5828,5518,0.0
-4244,-5920,5473,0.0
-4223,-5987,5404,0.0
-4147,-5972,5263,0.0
-4186,-6125,5269,0.0
-3631,-5396,4531,0.0
-3627,-5476,4488,0.0
-3638,-5575,4461,0.0
-3647,-5675,4432,0.0
-3651,-5767,4396,0.0
-3657,-5862,4361,0.0
-3561,-5792,4203,0.0
-3597,-5938,4205,0.0
0,0,0,0.0
-4111,-6984,4704,0.0
-3780,-6515,4278,0.0
-3804,-6649,4257,0.0
-3841,-6811,4249,0.0
-3835,-6896,4193,0.0
-3826,-6975,4131,0.0
-3849,-7115,4104,0.0
-3886,-7283,4090,0.0
-3894,-7398,4045,0.0
-3916,-7541,4011,0.0
-3935,-7682,3974,0.0
-3911,-7739,3893,0.0
-3705,-7429,3632,0.0
-3661,-7439,3533,0.0
-79,-163,75,0.0
-81,-171,77,0.0
-89,-190,83,0.0
-93,-199,84,0.0
-93,-204,82,0.0
-106,-235,92,0.0
-116,-260,100,0.0
-143,-323,119,0.0
-149,-342,121,0.0
-147,-343,117,0.0
-142,-336,111,0.0
-142,-339,108,0.0
-136,-329,101,0.0
-134,-329,96,0.0
-129,-319,91,0.0
-130,-329,89,0.0
-131,-334,87,0.0
-128,-329,81,0.0
-127,-333,78,0.0
-129,-341,77,0.0
-127,-342,73,0.0
-128,-350,71,0.0
-4111,8709,7020,0.0
-4129,8581,7070,0.0
-3917,7987,6727,0.0
-3989,7979,6870,0.0
-4049,7948,6994,0.0
-4098,7887,7095,0.0
-4140,7816,7188,0.0
-4153,7687,7227,0.0
-4150,7533,7239,0.0
-4149,7381,7252,0.0
-4151,7240,7272,0.0
-4152,7097,7289,0.0
-4154,6957,7306,0.0
-4152,6814,7317,0.0
-4154,6677,7332,0.0
-4150,6532,7337,0.0
-4147,6393,7345,0.0
-4151,6263,7361,0.0
-4155,6137,7380,0.0
-4153,6003,7387,0.0
-4154,5875,7398,0.0
-4153,5744,7404,0.0
-4161,5627,7427,0.0
-4162,5503,7438,0.0
-4166,5383,7452,0.0
-4167,5259,7459,0.0
-4133,5096,7406,0.0
-17248,20762,30928,0.0
-17434,20481,31283,0.0
0,0,0,0.0
-16746,18719,30087,0.0
-16642,18134,29915,0.0
0,0,0,0.0
-16577,17144,29825,0.0
-16791,16905,30220,0.0
-16960,16616,30535,0.0
-16967,16165,30552,0.0
-16949,15695,30527,0.0
-18455,16601,33244,0.0
-7308,6382,13166,0.0
-7350,6226,13242,0.0
-7425,6097,13376,0.0
-7423,5905,13371,0.0
-7445,5732,13410,0.0
-7394,5506,13316,0.0
-7366,5300,13262,0.0
-4197,2915,7554,0.0
-4179,2798,7519,0.0
-4178,2694,7514,0.0
-4176,2592,7509,0.0
-4178,2490,7507,0.0
-4173,2387,7495,0.0
-4178,2289,7499,0.0
-4176,2188,7491,0.0
-4182,2091,7495,0.0
-4183,1993,7492,0.0
-4183,1895,7487,0.0
-4182,1795,7477,0.0
-4184,1700,7475,0.0
-4186,1604,7472,0.0
-4182,1506,7457,0.0
-4182,1410,7451,0.0
-4189,1316,7453,0.0
-4234,1234,7526,0.0
-4405,1185,7821,0.0
-4397,1084,7796,0.0
-4407,987,7804,0.0
-4312,869,7626,0.0
-4184,751,7392,0.0
-4186,658,7383,0.0
-4178,565,7358,0.0
-4183,474,7355,0.0
-4185,383,7348,0.0
-4191,291,7347,0.0
-4188,200,7329,0.0
-4184,109,7308,0.0
-4183,19,7295,0.0
-4183,-71,7282,0.0
-4187,-161,7275,0.0
-4189,-251,7263,0.0
-4191,-340,7254,0.0
-4191,-430,7239,0.0
-4194,-520,7229,0.0
-4194,-609,7214,0.0
-4194,-697,7198,0.0
-4199,-787,7190,0.0
-4195,-876,7169,0.0
-4194,-963,7148,0.0
-4196,-1052,7136,0.0
-4198,-1141,7121,0.0
-4195,-1229,7100,0.0
-4195,-1316,7081,0.0
-4202,-1406,7075,0.0
-4216,-1498,7078,0.0
-4208,-1584,7046,0.0
-4211,-1673,7030,0.0
-4214,-1763,7017,0.0
-4204,-1845,6981,0.0
-4201,-1930,6953,0.0
-4200,-2017,6931,0.0
-4202,-2107,6915,0.0
-4198,-2191,6885,0.0
-4202,-2281,6869,0.0
-4204,-2369,6849,0.0
-4201,-2455,6823,0.0
-4207,-2546,6809,0.0
-4208,-2635,6786,0.0
-4204,-2720,6756,0.0
-4210,-2811,6741,0.0
-4205,-2897,6709,0.0
-4211,-2989,6693,0.0
-4210,-3075,6665,0.0
-4218,-3169,6651,0.0
-4219,-3259,6626,0.0
-4211,-3340,6587,0.0
-4213,-3431,6563,0.0
-4211,-3518,6531,0.0
-4215,-3609,6508,0.0
-4216,-3699,6480,0.0
-4209,-3783,6442,0.0
-4217,-3880,6424,0.0
-4221,-3973,6401,0.0
-4220,-4062,6367,0.0
-4221,-4153,6338,0.0
-4219,-4242,6303,0.0
-4219,-4333,6272,0.0
-4227,-4432,6250,0.0
-4225,-4519,6213,0.0
-4233,-4620,6190,0.0
-4298,-4784,6251,0.0
-4438,-5037,6418,0.0
-4454,-5153,6404,0.0
-4448,-5243,6357,0.0
-4257,-5112,6047,0.0
-3412,-4173,4817,0.0
-4226,-5261,5928,0.0
-4232,-5364,5898,0.0
-4233,-5460,5860,0.0
-4232,-5554,5820,0.0
-4232,-5648,5779,0.0
-4239,-5755,5748,0.0
-4233,-5842,5697,0.0
-4234,-5942,5658,0.0
-4241,-6049,5624,0.0
-4241,-6148,5581,0.0
-4247,-6253,5543,0.0
-4241,-6344,5490,0.0
-4245,-6450,5451,0.0
-4245,-6551,5404,0.0
-4244,-6649,5355,0.0
-4180,-6651,5229,0.0
-3608,-5827,4470,0.0
-4235,-6943,5199,0.0
-3504,-5831,4261,0.0
-3622,-6114,4359,0.0
-3632,-6221,4327,0.0
-3633,-6313,4283,0.0
-3637,-6412,4242,0.0
-3656,-6537,4217,0.0
-3667,-6651,4182,0.0
-3678,-6764,4146,0.0
0,0,0,0.0
0,0,0,0.0
-3807,-7300,4135,0.0
-3775,-7339,4047,0.0
-3766,-7423,3983,0.0
-3813,-7617,3976,0.0
-3707,-7507,3810,0.0
-3596,-7381,3642,0.0
0,0,0,0.0
-3855,-8126,3784,0.0
-76,-164,74,0.0
-82,-179,78,0.0
-91,-201,85,0.0
-95,-212,87,0.0
-101,-229,91,0.0
-110,-253,97,0.0
-137,-318,119,0.0
-147,-345,124,0.0
-141,-335,117,0.0
-140,-335,113,0.0
-138,-339,109,0.0
-135,-334,103,0.0
-130,-328,98,0.0
-133,-340,97,0.0
-126,-326,90,0.0
-125,-326,86,0.0
-125,-331,83,0.0
-127,-341,82,0.0
-124,-335,76,0.0
-125,-344,75,0.0
-124,-347,71,0.0
-3973,8609,6994,0.0
-4085,8685,7212,0.0
-3788,7902,6706,0.0
-3850,7878,6834,0.0
-3917,7860,6971,0.0
-4033,7937,7195,0.0
-4134,7978,7391,0.0
-4134,7822,7408,0.0
-4142,7682,7438,0.0
-4139,7527,7451,0.0
-4137,7372,7460,0.0
-4145,7238,7490,0.0
-4140,7083,7493,0.0
-4143,6943,7512,0.0
-4138,6793,7515,0.0
-4142,6658,7533,0.0
-4137,6512,7537,0.0
-4143,6383,7558,0.0
-4142,6246,7566,0.0
-4147,6120,7586,0.0
-4160,6004,7618,0.0
-4203,5933,7704,0.0
-4223,5829,7750,0.0
-16793,22653,30841,0.0
-16742,22070,30778,0.0
-16454,21188,30272,0.0
-16710,21014,30766,0.0
-16865,20705,31073,0.0
-17071,20453,31472,0.0
-16219,18956,29919,0.0
0,0,0,0.0
-16192,17990,29899,0.0
0,0,0,0.0
-16126,17001,29799,0.0
-16457,16888,30418,0.0
-16578,16553,30650,0.0
-16523,16041,30553,0.0
-18043,17025,33368,0.0
-17969,16469,33234,0.0
-17911,15933,33127,0.0
